Frames,Timestamp,Intensity,pid,qid
0,1.1912680864334106,37.49841788622299,40,13
1,1.199314066085213,36.742110491582814,40,13
2,1.2073600457370153,35.807460988252956,40,13
3,1.2154060253888177,34.390988203164795,40,13
4,1.22345200504062,34.109025852679046,40,13
5,1.2314979846924223,34.25885779008328,40,13
6,1.2395439643442245,34.076279381547614,40,13
7,1.247589943996027,34.516040394042385,40,13
8,1.2556359236478292,35.19074932221248,40,13
9,1.2636819032996316,35.216379215225786,40,13
10,1.2717278829514338,37.32476608251535,40,13
11,1.2797738626032362,45.11969614822235,40,13
12,1.2878198422550384,53.0925071749661,40,13
13,1.2958658219068409,56.19238010064892,40,13
14,1.303911801558643,54.57267938878559,40,13
15,1.3119577812104455,55.86460281577527,40,13
16,1.3200037608622477,62.92948028531904,40,13
17,1.3280497405140501,67.26465071665626,40,13
18,1.3360957201658523,69.50443852794096,40,13
19,1.3441416998176547,70.3381375938634,40,13
20,1.352187679469457,70.18977347550535,40,13
21,1.3602336591212594,69.54916903086844,40,13
22,1.3682796387730618,69.24861305568163,40,13
23,1.376325618424864,69.4092746497517,40,13
24,1.3843715980766662,69.29147550493559,40,13
25,1.3924175777284686,68.71417633768199,40,13
26,1.400463557380271,68.31986390919073,40,13
27,1.4085095370320733,68.33728313294796,40,13
28,1.4165555166838757,68.64123921279636,40,13
29,1.424601496335678,69.12541157460228,40,13
30,1.4326474759874803,69.30106898460403,40,13
31,1.4406934556392825,69.03756240936231,40,13
32,1.448739435291085,68.37603719118947,40,13
33,1.4567854149428872,67.57653386044453,40,13
34,1.4648313945946896,67.06163894611208,40,13
35,1.4728773742464918,66.95900026912906,40,13
36,1.4809233538982942,67.10156622207688,40,13
37,1.4889693335500964,67.17416729156852,40,13
38,1.4970153132018988,66.84279444772751,40,13
39,1.5050612928537013,66.34612480315732,40,13
40,1.5131072725055035,66.26874976428749,40,13
41,1.5211532521573057,66.77183550853641,40,13
42,1.529199231809108,67.47974918076507,40,13
43,1.5372452114609105,67.91564781531764,40,13
44,1.5452911911127127,67.83378486206466,40,13
45,1.553337170764515,67.21072273001921,40,13
46,1.5613831504163174,67.04938218303003,40,13
47,1.5694291300681198,67.59924079104009,40,13
48,1.577475109719922,67.82079004078496,40,13
49,1.5855210893717244,67.47467682139246,40,13
50,1.5935670690235266,66.89382045580693,40,13
51,1.601613048675329,66.31383392271017,40,13
52,1.6096590283271313,65.47754771739503,40,13
53,1.6177050079789337,64.92588777421173,40,13
54,1.6257509876307359,64.94775101668439,40,13
55,1.6337969672825383,64.76825411839819,40,13
56,1.6418429469343405,64.27263127906056,40,13
57,1.649888926586143,63.71977865024817,40,13
58,1.6579349062379451,63.0648408272545,40,13
59,1.6659808858897476,62.511327660639715,40,13
60,1.67402686554155,61.98954300052225,40,13
61,1.6820728451933522,61.09700645759008,40,13
62,1.6901188248451544,59.899922863918235,40,13
63,1.6981648044969568,58.32025727374632,40,13
64,1.7062107841487593,56.0115457857405,40,13
65,1.7142567638005615,53.264784351082845,40,13
66,1.7223027434523637,50.46831568439422,40,13
67,1.730348723104166,47.685580615138214,40,13
68,1.7383947027559685,45.6575629339129,40,13
69,1.7464406824077707,44.28673987295874,40,13
70,1.754486662059573,42.9165277762817,40,13
71,1.7625326417113754,41.471123677811114,40,13
72,1.7705786213631778,40.01000639099804,40,13
73,1.77862460101498,38.701288168277884,40,13
74,1.7866705806667822,37.34466566083667,40,13
75,1.7947165603185846,35.40242103289468,40,13
76,1.802762539970387,35.27702887186139,40,13
77,1.8108085196221895,36.33426768376212,40,13
78,1.8188544992739917,35.72937804634616,40,13
79,1.8269004789257939,34.53329994544695,40,13
80,1.8349464585775963,33.87809238938248,40,13
81,1.8429924382293987,34.61375595281756,40,13
82,1.851038417881201,36.30404993609881,40,13
83,1.8590843975330031,37.15350556495557,40,13
84,1.8671303771848056,36.1420847009804,40,13
85,1.875176356836608,35.22562110570905,40,13
86,1.8832223364884102,34.80899896862745,40,13
87,1.8912683161402124,34.11639740908693,40,13
88,1.8993142957920148,35.34316252436189,40,13
89,1.9073602754438173,36.46792808804446,40,13
90,1.9154062550956195,37.10191952549174,40,13
91,1.9234522347474217,37.185935152142086,40,13
92,1.931498214399224,36.87066237299752,40,13
93,1.9395441940510265,36.262875051606585,40,13
94,1.9475901737028287,35.70668760436013,40,13
95,1.955636153354631,36.54906424474261,40,13
96,1.9636821330064334,37.83932696852205,40,13
97,1.9717281126582358,38.62473521738028,40,13
98,1.9797740923100382,38.262167107104844,40,13
99,1.9878200719618404,37.57648669858869,40,13
100,1.9958660516136426,36.96593954569653,40,13
101,2.003912031265445,35.39362617846426,40,13
102,2.0119580109172475,35.33755600866491,40,13
103,2.02000399056905,36.61501931496076,40,13
104,2.028049970220852,37.19387854433901,40,13
105,2.0360959498726543,37.58986283674676,40,13
106,2.0441419295244567,36.8391093201788,40,13
107,2.0521879091762587,35.18853126822498,40,13
108,2.060233888828061,34.41161038595085,40,13
109,2.0682798684798636,34.72155170302052,40,13
110,2.076325848131666,36.725403573487945,40,13
111,2.0843718277834684,43.21380447979101,40,13
112,2.0924178074352704,47.787668988116266,40,13
113,2.100463787087073,47.98343254571631,40,13
114,2.1085097667388752,44.14161152994396,40,13
115,2.1165557463906772,39.879758730148666,40,13
116,2.1246017260424797,38.38487818844671,40,13
117,2.132647705694282,37.23569585976709,40,13
118,2.1406936853460845,37.11645747156988,40,13
119,2.148739664997887,37.68367991024721,40,13
120,2.1567856446496894,37.831665268931715,40,13
121,2.1648316243014913,37.4987014038708,40,13
122,2.1728776039532938,35.35249700636504,40,13
123,2.180923583605096,33.484957267193764,40,13
124,2.188969563256898,34.570645536374236,40,13
125,2.1970155429087006,35.588851112774094,40,13
126,2.205061522560503,35.48202287369612,40,13
127,2.2131075022123055,36.6706084592323,40,13
