Frames,Timestamp,hnr_ratio,pid,qid
0,1.1912680864334106,-2.164634125298828,40,13
1,1.2361002850532532,-1.5510600408928676,40,13
2,1.2809324836730958,5.94566951981593,40,13
3,1.3257646822929383,7.556774995221956,40,13
4,1.3705968809127809,7.178589637801824,40,13
5,1.4154290795326232,9.162234242466845,40,13
6,1.4602612781524658,8.174621892496141,40,13
7,1.5050934767723083,8.467290932121767,40,13
8,1.5499256753921509,12.381691644813788,40,13
9,1.5947578740119934,10.526813662552204,40,13
10,1.639590072631836,11.56391292610917,40,13
11,1.6844222712516785,15.609391235075421,40,13
12,1.7292544698715209,9.20460805907426,40,13
13,1.7740866684913636,18.073623187639683,40,13
14,1.818918867111206,8.809805272740872,40,13
15,1.8637510657310485,6.6511243236389745,40,13
16,1.908583264350891,15.291982924822094,40,13
17,1.9534154629707337,10.260664695268408,40,13
18,1.9982476615905762,13.996151632325734,40,13
19,2.0430798602104185,7.023702817552269,40,13
20,2.0879120588302613,14.565182975168975,40,13
21,2.1327442574501037,6.261482286104796,40,13
22,2.1775764560699464,14.626546446089879,40,13
23,2.2224086546897888,5.717225783186875,40,13
24,2.267240853309631,4.952786348789756,40,13
25,2.312073051929474,10.768671235542772,40,13
26,2.3569052505493167,6.510485089551649,40,13
27,2.401737449169159,14.479985824474863,40,13
28,2.4465696477890013,4.805095397902917,40,13
29,2.491401846408844,4.208279817632853,40,13
30,2.5362340450286864,8.69803085401993,40,13
31,2.5810662436485288,4.406866476027195,40,13
32,2.6258984422683715,11.618729062957707,40,13
33,2.6707306408882143,6.8569439299504475,40,13
34,2.7155628395080567,7.365348920452007,40,13
35,2.760395038127899,11.818688365600956,40,13
36,2.8052272367477418,12.78239481704389,40,13
37,2.850059435367584,9.72559088802743,40,13
38,2.8948916339874264,12.234618965921925,40,13
39,2.939723832607269,30.65296997808388,40,13
40,2.984556031227112,13.277961237401545,40,13
41,3.0293882298469543,10.321467535463917,40,13
