Distance_between_peaks(sec),Expressivity,Timestamp,pid
0.0,118.61058461538462,27.00000000000014,40
21.600000000000303,164.5156923076923,48.60000000000044,40
21.60000000000074,169.54547692307693,70.20000000000118,40
32.40000000000276,119.51921025641025,102.60000000000394,40
97.19999999997768,164.89564102564103,199.79999999998162,40
21.599999999992633,145.70452307692307,221.39999999997426,40
32.39999999998895,95.18360000000001,253.7999999999632,40
43.200000000008544,143.1951282051282,296.99999999997175,40
32.40000000000737,140.90490256410257,329.3999999999791,40
32.40000000000737,152.7991076923077,361.7999999999865,40
54.00000000001228,157.96938461538463,415.79999999999876,40
21.60000000000491,158.0770358974359,437.4000000000037,40
64.80000000001473,137.42821538461538,502.2000000000184,40
43.200000000009766,182.29903589743589,545.4000000000282,40
