frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
67,0,2.75,0.98,1,-15.0,17.2,250.7,-0.163,-0.005,0.10099999999999999
68,0,2.792,0.98,1,-14.5,15.5,251.1,-0.159,-0.005,0.10800000000000001
69,0,2.833,0.98,1,-14.1,13.9,250.9,-0.15,-0.009000000000000001,0.111
70,0,2.875,0.98,1,-13.3,12.6,250.0,-0.152,-0.018000000000000002,0.115
71,0,2.917,0.98,1,-12.4,11.3,248.7,-0.151,-0.019,0.11900000000000001
72,0,2.958,0.98,1,-11.9,10.5,248.2,-0.147,-0.01,0.12300000000000001
73,0,3.0,0.98,1,-11.3,9.7,246.9,-0.138,-0.008,0.126
74,0,3.042,0.98,1,-10.4,9.4,246.3,-0.136,-0.008,0.127
75,0,3.083,0.98,1,-10.1,9.1,244.9,-0.14,-0.006,0.126
76,0,3.125,0.98,1,-10.4,9.0,246.5,-0.142,-0.006999999999999999,0.128
77,0,3.167,0.98,1,-10.5,8.5,247.1,-0.14400000000000002,-0.013999999999999999,0.131
78,0,3.208,0.98,1,-10.6,8.1,248.2,-0.155,-0.015,0.13
79,0,3.25,0.98,1,-10.7,8.1,249.6,-0.158,-0.012,0.129
80,0,3.292,0.98,1,-10.7,8.4,250.7,-0.16399999999999998,-0.012,0.127
81,0,3.333,0.98,1,-10.5,8.9,251.4,-0.161,-0.011000000000000001,0.127
82,0,3.375,0.98,1,-10.0,9.4,252.3,-0.155,-0.008,0.128
83,0,3.417,0.98,1,-9.5,9.9,253.3,-0.158,-0.008,0.125
84,0,3.458,0.98,1,-9.3,10.6,254.7,-0.155,-0.008,0.122
85,0,3.5,0.98,1,-9.6,11.6,255.3,-0.16,-0.01,0.125
86,0,3.542,0.98,1,-10.3,12.9,257.2,-0.168,-0.013000000000000001,0.127
87,0,3.583,0.98,1,-11.2,14.6,258.3,-0.166,-0.016,0.128
88,0,3.625,0.98,1,-12.0,16.1,259.0,-0.166,-0.019,0.126
89,0,3.667,0.98,1,-12.9,17.5,258.9,-0.161,-0.017,0.124
90,0,3.708,0.98,1,-13.6,18.8,258.5,-0.154,-0.019,0.122
91,0,3.75,0.98,1,-13.7,19.3,257.5,-0.146,-0.018000000000000002,0.11900000000000001
92,0,3.792,0.98,1,-13.5,19.1,257.0,-0.159,-0.026000000000000002,0.11800000000000001
93,0,3.833,0.98,1,-13.5,18.8,254.1,-0.159,-0.027000000000000003,0.12
94,0,3.875,0.98,1,-13.9,18.1,251.0,-0.156,-0.025,0.122
95,0,3.917,0.98,1,-14.5,17.7,247.7,-0.154,-0.03,0.125
96,0,3.958,0.98,1,-15.4,17.8,247.1,-0.14800000000000002,-0.028999999999999998,0.129
