frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
295,0,12.25,0.98,1,-13.2,3.8,272.0,-0.14400000000000002,-0.03,0.096
296,0,12.292,0.98,1,-10.4,6.0,272.5,-0.14400000000000002,-0.015,0.10099999999999999
297,0,12.333,0.98,1,-8.5,7.9,271.2,-0.127,-0.005,0.102
298,0,12.375,0.98,1,-7.3,9.3,270.3,-0.107,0.009000000000000001,0.105
299,0,12.417,0.98,1,-6.3,10.6,269.2,-0.095,0.012,0.106
300,0,12.458,0.98,1,-5.2,11.8,268.5,-0.08900000000000001,0.013999999999999999,0.107
301,0,12.5,0.98,1,-3.9,13.0,268.0,-0.083,0.006999999999999999,0.107
302,0,12.542,0.98,1,-3.3,14.0,267.3,-0.079,0.005,0.105
303,0,12.583,0.93,1,-3.1,14.4,266.6,-0.084,0.01,0.10400000000000001
304,0,12.625,0.93,1,-2.7,14.8,266.1,-0.08,0.006999999999999999,0.10300000000000001
305,0,12.667,0.98,1,-2.3,15.4,266.1,-0.075,0.01,0.10400000000000001
